2162195701	12340363	positive	@DLind I know! But yes. She sent round a scathing email during a discussion of Twitter. It burned.
2162196202	12340384	positive	"@peterfacinelli YOU HAVE TO WIN! cant wait to see ""all the single ladies performance"" LOL!"
2162196802	12340402	positive	@MILFaliciousOne yeah i believe this to be true for those square cats!!!
2162197303	12340419	positive	"Well, I will watch television while haveing milk with cereals until I fall asleep, I guess. Night Night followers, see you all tomorrow."
2162198700	12340458	positive	@DonnieWahlberg your son is absolutely adorable!!! thank you for another great night in Jersey!!
2162198702	12340460	positive	@KrisColvin I just imagined that in a Mr. T voice - I pity the fools that kidnap me - sounds funny with your face attached.
2162198703	12340461	positive	Went to a great wedding reception was very relaxing
2162199302	12340479	positive	@TurQuOiZe_eYeZ she overheard me reading ur tweet to tim and now she has a perma grin!! She likes him!
2162199703	12340496	positive	@jonasbrothers:ARGENTINA WANTS THE JONAS BROTHERS FOR CHRISTMAS/NEW YEAR!..-
2162200004	12340511	positive	"i spent the whole day with her though, so maybe its ok.."
2162200601	12340530	positive	sigh---&gt;loving life! :) we DOPE like shyt!lol
2162201003	12340537	positive	"Mt. Mitchell repeaters acting up?  First they were off the air, then it sounds like connector probs?"
2162201603	12340556	positive	"I saw ""Mean Girls"". It was your average, run-of-the-mills teen movie. I will say Lindsey Lohan was absulutly gorgous. http://ff.im/-3Xdao"
2162201901	12340567	positive	Did you know? A tRNA with an anticodon complementary to the mRNA codon brings its specific amino acid into place. I love homework.
2162202402	12340582	positive	http://twitpic.com/7cvz6 - I cant wait for volleyball this fall with my favorite girls!
2162202802	12340593	positive	"@Sole_on_Ice hell nah, I got my 2nd, 3rd, 4th wind. This band is great!"
2162203304	12340613	positive	"@dj_Twomp_MP3Ent hey, I promote any hook ups!"
2162203800	12340628	positive	"@kuosis Ok K, to clear it up, Tony gave Michelle the watch! NOT SID, get it right! Haha, I was correct."
2162203804	12340629	positive	@drjanssens Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip :)
2162204704	12340657	positive	".@LMangueArt @stanwong27 intrigued by ""Ace in the Hole""; now i really want to see it! exciting, thx so much! http://ow.ly/dZQ1"
2162204902	12340661	positive	"@labradors Thanks~We had fun & mets lots of four leggeds out for a walk in the woods with their humans, too!"
2162204900	12340662	positive	@joedubz yea its a heaps nice song..hence y i dedicated it 2 all of you guys xD
2162204904	12340663	positive	getting the pens ready for the expecting mother goats to start kidding the end of August...
2162205003	12340668	positive	@ShaiBrooklyn Tis all good :pet
2162207104	12340746	positive	Is actually looking forward to getting up at 5:45 am. !
